[2025-06-10 17:25:51,427] INFO in crawler_pipeline: [33/430] Downloading HTML: https://www.deeplearning.ai/the-batch/deepseek-outlines-v3-training-hardware-limits/
[2025-06-10 17:25:51,427] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/deepseek_outlines_v3_training_hardware_limits.html
[2025-06-10 17:25:51,432] INFO in crawler_pipeline: [34/430] Downloading HTML: https://www.deeplearning.ai/the-batch/deepseek-r1-regains-open-weights-crown/
[2025-06-10 17:25:51,432] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/deepseek_r1_regains_open_weights_crown.html
[2025-06-10 17:25:51,438] INFO in crawler_pipeline: [35/430] Downloading HTML: https://www.deeplearning.ai/the-batch/deepseek-r1s-update-leads-all-open-models-and-brings-it-up-to-date-with-the-latest-from-google-and-openai/
[2025-06-10 17:25:51,438] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/deepseek_r1s_update_leads_all_open_models_and_brings_it_up_to_date_with_the_latest_from_google_and_openai.html
[2025-06-10 17:25:51,443] INFO in crawler_pipeline: [36/430] Downloading HTML: https://www.deeplearning.ai/the-batch/duolingo-turns-to-ai-translation-to-expand-its-most-popular-courses-to-all-28-user-languages/
[2025-06-10 17:25:51,443] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/duolingo_turns_to_ai_translation_to_expand_its_most_popular_courses_to_all_28_user_languages.html
[2025-06-10 17:25:51,449] INFO in crawler_pipeline: [37/430] Downloading HTML: https://www.deeplearning.ai/the-batch/european-regulators-move-to-relax-some-ai-act-rules-on-developers-liability-other-provisions/
[2025-06-10 17:25:51,449] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/european_regulators_move_to_relax_some_ai_act_rules_on_developers_liability_other_provisions.html
[2025-06-10 17:25:51,454] INFO in crawler_pipeline: [38/430] Downloading HTML: https://www.deeplearning.ai/the-batch/evaluating-the-best-ai-search-engines/
[2025-06-10 17:25:51,454] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/evaluating_the_best_ai_search_engines.html
[2025-06-10 17:25:51,460] INFO in crawler_pipeline: [39/430] Downloading HTML: https://www.deeplearning.ai/the-batch/gemini-2-5-pro-june-update-now-available-in-preview/
[2025-06-10 17:25:51,460] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/gemini_2_5_pro_june_update_now_available_in_preview.html
[2025-06-10 17:25:51,466] INFO in crawler_pipeline: [40/430] Downloading HTML: https://www.deeplearning.ai/the-batch/generated-video-with-music-sound-effects-and-dialogue/
[2025-06-10 17:25:51,466] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/generated_video_with_music_sound_effects_and_dialogue.html
[2025-06-10 17:25:51,471] INFO in crawler_pipeline: [41/430] Downloading HTML: https://www.deeplearning.ai/the-batch/generative-ai-and-gpu-boom-spawns-growing-e-waste-problem/
[2025-06-10 17:25:51,471] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/generative_ai_and_gpu_boom_spawns_growing_e_waste_problem.html
[2025-06-10 17:25:51,477] INFO in crawler_pipeline: [42/430] Downloading HTML: https://www.deeplearning.ai/the-batch/generative-ai-for-artists/
[2025-06-10 17:25:51,477] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/generative_ai_for_artists.html
[2025-06-10 17:25:51,481] INFO in crawler_pipeline: [43/430] Downloading HTML: https://www.deeplearning.ai/the-batch/generative-video-models-revolutionize-content-creation-with-stunning-realism/
[2025-06-10 17:25:51,481] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/generative_video_models_revolutionize_content_creation_with_stunning_realism.html
[2025-06-10 17:25:51,487] INFO in crawler_pipeline: [44/430] Downloading HTML: https://www.deeplearning.ai/the-batch/google-upgrades-its-ai-music-tools-for-professional-use/
[2025-06-10 17:25:51,487] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/google_upgrades_its_ai_music_tools_for_professional_use.html
[2025-06-10 17:25:51,492] INFO in crawler_pipeline: [45/430] Downloading HTML: https://www.deeplearning.ai/the-batch/googles-latest-language-learning-project/
[2025-06-10 17:25:51,492] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/googles_latest_language_learning_project.html
[2025-06-10 17:25:51,498] INFO in crawler_pipeline: [46/430] Downloading HTML: https://www.deeplearning.ai/the-batch/googles-new-ai-offerings-include-veo-3-video-generator-lightweight-gemma-3n-updates-to-gemini-pro-and-ultra-and-more/
[2025-06-10 17:25:51,498] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/googles_new_ai_offerings_include_veo_3_video_generator_lightweight_gemma_3n_updates_to_gemini_pro_and_ultra_and_more.html
[2025-06-10 17:25:51,504] INFO in crawler_pipeline: [47/430] Downloading HTML: https://www.deeplearning.ai/the-batch/gpt-4-boosts-remote-tutors-performance-in-real-time-study-finds/
[2025-06-10 17:25:51,504] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/gpt_4_boosts_remote_tutors_performance_in_real_time_study_finds.html
[2025-06-10 17:25:51,509] INFO in crawler_pipeline: [48/430] Downloading HTML: https://www.deeplearning.ai/the-batch/grounding-dino-1-5-an-edge-device-model-built-for-faster-smarter-object-detection/
[2025-06-10 17:25:51,509] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/grounding_dino_1_5_an_edge_device_model_built_for_faster_smarter_object_detection.html
[2025-06-10 17:25:51,515] INFO in crawler_pipeline: [49/430] Downloading HTML: https://www.deeplearning.ai/the-batch/harvard-unveils-a-million-book-corpus-for-ai-training/
[2025-06-10 17:25:51,515] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/harvard_unveils_a_million_book_corpus_for_ai_training.html
[2025-06-10 17:25:51,521] INFO in crawler_pipeline: [50/430] Downloading HTML: https://www.deeplearning.ai/the-batch/hot-tips-for-speedy-startups/
[2025-06-10 17:25:51,521] INFO in crawler_pipeline: Parsing HTML: /Users/bohdanosmuk/PycharmProjects/Multimodal_RAG/app/data/cached_html/hot_tips_for_speedy_startups.html
